ID,考试科目,题目类型,题目内容,正确答案,A选项,B选项,C选项,D选项,E选项,F选项,备注信息,判断正误正确选项,判断正误错误选项,添加时间,选项数,
1,xz,选择题,C语11言1发明者是谁？,B,A.詹姆斯·高斯林,B.丹尼斯·里奇,C.林纳斯·托瓦兹,D.严蔚敏,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
2,xz,选择题,研究数据结构就是研究（）,B,A.数据的逻辑结构,B.数据的存储结构,C.数据的逻辑结构和存储结构,D.数据的逻辑结构、存储结构及其基本操作,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
3,xz,选择题,算法的时间复杂度是指（）,B,A.执行算法程序锁需要的时间,B.算法程序中的指令条数,C.算法程序的长度,D.分析算法的易懂性和文档性,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
4,xz,选择题,C语言发明者是谁？,B,A.詹姆斯·高斯林,B.丹尼斯·里奇,C.林纳斯·托瓦兹,D.严蔚敏,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
5,xz,选择题,研究数据结构就是研究（）,B,A.数据的逻辑结构,B.数据的存储结构,C.数据的逻辑结构和存储结构,D.数据的逻辑结构、存储结构及其基本操作,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
6,xz,选择题,算法的时间复杂度是指（）,B,A.执行算法程序锁需要的时间,B.算法程序中的指令条数,C.算法程序的长度,D.分析算法的易懂性和文档性,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
7,xz,选择题,C语言发明者1是谁1？,B,A.詹姆斯·高斯林,B.丹尼斯·里奇,C.林纳斯·托瓦兹,D.严蔚敏,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
8,xz,选择题,研究数据结构就是研究（）,B,A.数据的逻辑结构,B.数据的存储结构,C.数据的逻辑结构和存储结构,D.数据的逻辑结构、存储结构及其基本操作,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
9,xz,选择题,算法的时间复杂度是指（）,B,A.执行算法程序锁需要的时间,B.算法程序中的指令条数,C.算法程序的长度,D.分析算法的易懂性和文档性,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
10,xz,选择题,C语言发明者是谁？,B,A.詹姆斯·高斯林,B.丹尼斯·里奇,C.林纳斯·托瓦兹,D.严蔚敏,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
11,xz,选择题,研究数据结构就是研究（）,B,A.数据的逻辑结构,B.数据的存储结构,C.数据的逻辑结构和存储结构,D.数据的逻辑结构、存储结构及其基本操作,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
12,xz,选择题,算法的时间复杂度是指（）,B,A.执行算法程序锁需要的时间,B.算法程序中的指令条数,C.算法程序的长度,D.分析算法的易懂性和文档性,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
13,pd,判断题,我1有两块糖，吃了一块，还剩三块（）,FALSE,A.,B.,C.,D.,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
14,pd,判断题,我有两块糖，吃了一块，还剩三块1（）,FALSE,A.,B.,C.,D.,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
15,pd,判断题,我有两块糖，吃了一块，还剩三块2（）,FALSE,A.,B.,C.,D.,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
16,pd,判断题,我有两块糖，吃了一块，还剩三块（）,FALSE,A.,B.,C.,D.,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
17,pd,判断题,我有两块糖，吃了一块，还剩三块1（）,FALSE,A.,B.,C.,D.,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
18,pd,判断题,我有两块糖，吃了一块，还剩三块2（）,FALSE,A.,B.,C.,D.,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
19,pd,判断题,我有两块糖，吃了一块，还剩三块（）,FALSE,A.,B.,C.,D.,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
20,pd,判断题,我有两块糖，吃了一块，还剩三块1（）,FALSE,A.,B.,C.,D.,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
21,pd,判断题,我有两块糖，吃了一块，还剩三块2（）,FALSE,A.,B.,C.,D.,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
22,pd,判断题,我有两块糖，吃了一块，还剩三块（）,FALSE,A.,B.,C.,D.,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
23,pd,判断题,我有两块糖，吃了一块，还剩三块1（）,FALSE,A.,B.,C.,D.,E.,F.,问答题在此处做答,对,错,2019/8/12,4,1
25,mxz,多选题,我有两块糖，吃了一块，还剩三块3（）,BCD,A.错,B.对,C.对,D.对,E.错,F.错,问答题在此处做答,对,错,2019/8/12,6,
26,mxz,多选题,我有两块糖，吃了一块，还剩三块4（）,BCD,A.错,B.对,C.对,D.对,E.错,F.,问答题在此处做答,对,错,2019/8/12,5,
27,mxz,多选题,我有两块糖，吃了一块，还剩三块5（）,BCD,A.错,B.对,C.对,D.对,E.,F.,问答题在此处做答,对,错,2019/8/12,4,
28,mxz,多选题,我有两块糖，吃了一块，还剩三块6（）,BCD,A.错,B.对,C.对,D.对,E.错,F.错,问答题在此处做答,对,错,2019/8/12,6,
29,mxz,多选题,我有两块糖，吃了一块，还剩三块7（）,BCD,A.错,B.对,C.对,D.对,E.错,F.,问答题在此处做答,对,错,2019/8/12,5,
30,mxz,多选题,我有两块糖，吃了一块，还剩三块8（）,BCD,A.错,B.对,C.对,D.对,E.,F.,问答题在此处做答,对,错,2019/8/12,4,
31,mxz,多选题,我有两块糖，吃了一块，还剩三块9（）,BCD,A.错,B.对,C.对,D.对,E.错,F.错,问答题在此处做答,对,错,2019/8/12,6,
